,open,close,high,low,volume,time,HA_Close,HA_Open,HA_High,HA_Low,sma250,sma200,sma20,sma26,sma9,STOCHd_14_3_3,STOCHk_14_3_3,psar,atr,rsi,lower_channel,middle_channel,third_kc,vol_signal,sma200_signal,sma250_signal,sma_cross_signal,rsi_signal,rsi_oversold,rsi_over_50,rsi_overbought,price_under_sma20,atr_tp,macd_signal,macd_signal_short,kc_signal,ha_signal
0,0.5236,0.5209,0.5237,0.5202,159583.0,2023-11-24 17:50:00,0.5221,0.52225,0.5237,0.5202,,,,,,,,,,,0.511609834866976,0.515904917433488,0.513757376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
1,0.521,0.5211,0.5215,0.5201,175514.0,2023-11-24 17:51:00,0.520925,0.5215875,0.5215875,0.5201,,,,,,,,0.5201,,,0.511509834866976,0.515804917433488,0.513657376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
2,0.5212,0.5217,0.5221,0.5211,44552.0,2023-11-24 17:52:00,0.521525,0.5215562499999999,0.5221,0.5211,,,,,,,,0.5201,,,0.512509834866976,0.516804917433488,0.514657376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
3,0.5215,0.5175,0.5216,0.5167,47911.0,2023-11-24 17:53:00,0.519325,0.520440625,0.5216,0.5167,,,,,,,,,,,0.508109834866976,0.512404917433488,0.510257376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
4,0.5178,0.517,0.5178,0.5168,222185.0,2023-11-24 17:54:00,0.51735,0.5188953125,0.5188953125,0.5168,,,,,,,,,,,0.508209834866976,0.512504917433488,0.510357376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
5,0.517,0.5181,0.5181,0.517,82164.0,2023-11-24 17:55:00,0.51755,0.51822265625,0.51822265625,0.517,,,,,,,,,,,0.508409834866976,0.512704917433488,0.510557376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
6,0.518,0.5187,0.5188,0.5171,26298.0,2023-11-24 17:56:00,0.51815,0.518186328125,0.5188,0.5171,,,,,,,,,,,0.508509834866976,0.512804917433488,0.510657376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
7,0.5187,0.5203,0.5224,0.5183,59356.0,2023-11-24 17:57:00,0.519925,0.5190556640624999,0.5224,0.5183,,,,,,,,0.5167,,,0.509709834866976,0.514004917433488,0.511857376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
8,0.5204,0.5194,0.5215,0.5193,118411.0,2023-11-24 17:58:00,0.52015,0.51960283203125,0.5215,0.5193,,,,,0.519411111111111,,,0.516814,,,0.510709834866976,0.515004917433488,0.512857376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
9,0.5193,0.5192,0.5196,0.5192,64474.0,2023-11-24 17:59:00,0.519325,0.519463916015625,0.5196,0.5192,,,,,0.5192222222222223,,,0.51692572,,,0.510609834866976,0.514904917433488,0.512757376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
10,0.5192,0.5208,0.5218,0.5191,16028.0,2023-11-24 18:00:00,0.5202249999999999,0.5198444580078125,0.5218,0.5191,,,,,0.5191888888888889,,,0.5170352056,,,0.510509834866976,0.514804917433488,0.512657376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
11,0.5208,0.5206,0.5223,0.5205,26640.0,2023-11-24 18:01:00,0.52105,0.5204472290039063,0.5223,0.5204472290039063,,,,,0.5190666666666667,,,0.517142501488,,,0.5119098348669759,0.516204917433488,0.514057376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
12,0.5205,0.5193,0.5205,0.519,74109.0,2023-11-24 18:02:00,0.519825,0.5201361145019532,0.5205,0.519,,,,,0.5192666666666667,,,0.51724765145824,,,0.510409834866976,0.514704917433488,0.512557376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
13,0.5193,0.5169,0.5193,0.5167,34974.0,2023-11-24 18:03:00,0.51805,0.5190930572509767,0.5193,0.5167,,,,,0.5192555555555555,,,,,,0.508109834866976,0.512404917433488,0.510257376150232,False,False,False,False,False,False,False,False,False,,False,False,False,False
14,0.5165,0.5167,0.5172,0.5165,125705.0,2023-11-24 18:04:00,0.516725,0.5179090286254884,0.5179090286254884,0.5165,,,,,0.5191,,,,0.0019037129078271456,34.00955071344691,0.5079098348669759,0.512204917433488,0.510057376150232,False,False,False,False,False,False,False,False,False,0.5195555693617407,False,False,False,False
15,0.5164,0.5171,0.5182,0.5164,62002.0,2023-11-24 18:05:00,0.517025,0.5174670143127442,0.5182,0.5164,,,,,0.5189222222222223,,5.971213344095279,,0.001892672150767141,36.76580123267102,0.507809834866976,0.512104917433488,0.509957376150232,False,False,False,False,False,False,False,False,False,0.5199390082261507,False,False,False,False
16,0.5171,0.5179,0.5183,0.5171,13055.0,2023-11-24 18:06:00,0.5176000000000001,0.5175335071563721,0.5183,0.5171,,,,,0.5186555555555555,,13.352165725048074,,0.0018214291288283248,41.984875876274636,0.508509834866976,0.512804917433488,0.510657376150232,False,False,False,False,False,False,False,False,False,0.5206321436932425,False,False,False,False
17,0.518,0.5183,0.5189,0.5179,47522.0,2023-11-24 18:07:00,0.518275,0.5179042535781861,0.5189,0.5179,,,,,0.5185333333333334,14.033718948973897,22.777777777778336,,0.0017395171293593974,44.45348860564593,0.509309834866976,0.513604917433488,0.511457376150232,False,False,False,False,False,False,False,False,False,0.5209092756940391,False,False,False,False
